Time,Used,Committed,Max
43473.158007,166365232,383778816,2036334592
43473.158050,170559536,383778816,2036334592
43473.158097,171608112,383778816,2036334592
43473.158143,171608112,383778816,2036334592
43473.158189,172656688,383778816,2036334592
43473.158235,173705264,383778816,2036334592
43473.158282,174753840,383778816,2036334592
43473.158328,175802416,383778816,2036334592
43473.158374,176850992,383778816,2036334592
43473.158421,176850992,383778816,2036334592
43473.158467,178948144,383778816,2036334592
43473.158513,178948144,383778816,2036334592
43473.158560,179996720,383778816,2036334592
43473.158606,181045296,383778816,2036334592
43473.158652,182093872,383778816,2036334592
43473.158698,231376944,383778816,2036334592
43473.158745,74343936,383778816,2036334592
43473.158791,98461184,383778816,2036334592
43473.158837,123627008,383778816,2036334592
43473.158884,168715776,383778816,2036334592
43473.158930,209610240,383778816,2036334592
43473.158976,40762880,383778816,2036334592
43473.159022,82705920,383778816,2036334592
43473.159069,125697536,383778816,2036334592
43473.159115,166592000,383778816,2036334592
43473.159161,208535040,383778816,2036334592
43473.159208,248380928,383778816,2036334592
43473.159254,67246696,383778816,2036334592
43473.159300,107092584,383778816,2036334592
43473.159347,147987048,383778816,2036334592
43473.159393,189930088,383778816,2036334592
43473.159439,229775976,383778816,2036334592
43473.159485,47464640,383778816,2036334592
43473.159532,87310528,383778816,2036334592
43473.159578,128204992,383778816,2036334592
43473.159624,168050880,383778816,2036334592
43473.159671,209993920,383778816,2036334592
43473.159717,249839808,383778816,2036334592
43473.159763,66681184,383778816,2036334592
43473.159810,107575648,383778816,2036334592
43473.159856,148470112,383778816,2036334592
43473.159902,188316000,383778816,2036334592
43473.159948,229210464,383778816,2036334592
43473.159995,46088672,383778816,2036334592
43473.160041,85934560,383778816,2036334592
43473.160087,126829024,383778816,2036334592
43473.160134,167723488,383778816,2036334592
43473.160180,207569376,383778816,2036334592
43473.160226,248463840,383778816,2036334592
43473.160273,65476864,383778816,2036334592
43473.160319,106371328,383778816,2036334592
43473.160365,147265792,383778816,2036334592
43473.160411,188160256,383778816,2036334592
43473.160458,229054720,383778816,2036334592
43473.160504,45897984,383778816,2036334592
43473.160550,86792448,383778816,2036334592
43473.160597,126638336,383778816,2036334592
43473.160643,168581376,383778816,2036334592
43473.160689,208427264,383778816,2036334592
43473.160735,249321728,383778816,2036334592
43473.160782,67386360,383778816,2036334592
43473.160828,108280824,383778816,2036334592
43473.160874,148126712,383778816,2036334592
43473.160921,189021176,383778816,2036334592
43473.160967,229915640,383778816,2036334592
43473.161013,47675136,383778816,2036334592
43473.161060,87521024,383778816,2036334592
43473.161106,128415488,383778816,2036334592
43473.161152,169309952,383778816,2036334592
43473.161198,210204416,383778816,2036334592
43473.161245,251098880,383778816,2036334592
43473.161291,68199928,383778816,2036334592
43473.161337,109094392,383778816,2036334592
43473.161384,148940280,383778816,2036334592
43473.161430,190883320,383778816,2036334592
43473.161476,231777784,383778816,2036334592
43473.161523,49730488,383778816,2036334592
43473.161569,90624952,383778816,2036334592
43473.161615,131519416,383778816,2036334592
43473.161661,172413880,383778816,2036334592
43473.161708,213308344,383778816,2036334592
43473.161754,253154232,383778816,2036334592
43473.161800,72018048,383778816,2036334592
43473.161847,112912512,383778816,2036334592
43473.161893,153806976,383778816,2036334592
43473.161939,194701440,383778816,2036334592
43473.161985,234547328,383778816,2036334592
43473.162032,53576192,383778816,2036334592
43473.162078,94470656,383778816,2036334592
43473.162124,135365120,383778816,2036334592
43473.162171,175211008,383778816,2036334592
43473.162217,216105472,383778816,2036334592
43473.162263,256999936,383778816,2036334592
43473.162310,76912720,383778816,2036334592
43473.162356,117807184,383778816,2036334592
43473.162402,157653072,383778816,2036334592
43473.162448,199596112,383778816,2036334592
43473.162495,240490576,383778816,2036334592
43473.162541,60953728,383778816,2036334592
43473.162587,100799616,383778816,2036334592
43473.162634,141694080,383778816,2036334592
43473.162680,182588544,383778816,2036334592
43473.162726,223483008,383778816,2036334592
43473.162773,44377088,383778816,2036334592
43473.162819,84222976,383778816,2036334592
43473.162865,126166016,383778816,2036334592
43473.162911,166011904,383778816,2036334592
43473.162958,206906368,383778816,2036334592
43473.163004,247800832,383778816,2036334592
43473.163050,66822144,383778816,2036334592
43473.163097,107716608,383778816,2036334592
43473.163143,148611072,383778816,2036334592
43473.163189,189505536,383778816,2036334592
43473.163236,230400000,383778816,2036334592
43473.163282,49412616,383778816,2036334592
43473.163328,90307080,383778816,2036334592
43473.163374,131201544,383778816,2036334592
43473.163421,172096008,383778816,2036334592
43473.163467,212990472,383778816,2036334592
43473.163513,252836360,383778816,2036334592
43473.163560,72899072,383778816,2036334592
43473.163606,112744960,383778816,2036334592
43473.163652,154688000,383778816,2036334592
43473.163699,195582464,383778816,2036334592
43473.163745,235428352,383778816,2036334592
43473.163791,54428160,383778816,2036334592
43473.163837,96371200,383778816,2036334592
43473.163884,136217088,383778816,2036334592
43473.163930,177111552,383778816,2036334592
43473.163976,216957440,383778816,2036334592
43473.164023,257851904,383778816,2036334592
43473.164069,77902336,383778816,2036334592
43473.164115,118796800,383778816,2036334592
43473.164161,159691264,383778816,2036334592
43473.164208,199537152,383778816,2036334592
43473.164254,240431616,383778816,2036334592
43473.164300,60474368,383778816,2036334592
43473.164347,101368832,383778816,2036334592
43473.164393,141214720,383778816,2036334592
43473.164439,182109184,383778816,2036334592
43473.164486,221955072,383778816,2036334592
43473.164532,41829632,383778816,2036334592
43473.164578,81675520,383778816,2036334592
43473.164624,123618560,383778816,2036334592
43473.164671,163464448,383778816,2036334592
43473.164717,204358912,383778816,2036334592
43473.164763,245253376,383778816,2036334592
43473.164810,64453632,383778816,2036334592
43473.164856,106396672,383778816,2036334592
43473.164902,145193984,383778816,2036334592
43473.164949,186088448,383778816,2036334592
43473.164995,228031488,383778816,2036334592
43473.165041,47328344,383778816,2036334592
43473.165087,88222808,383778816,2036334592
43473.165134,129117272,383778816,2036334592
43473.165180,170011736,383778816,2036334592
43473.165226,209857624,383778816,2036334592
43473.165273,249703512,383778816,2036334592
43473.165319,71548416,383778816,2036334592
43473.165365,112442880,383778816,2036334592
43473.165412,153337344,383778816,2036334592
43473.165458,193183232,383778816,2036334592
43473.165504,234077696,383778816,2036334592
43473.165550,53926048,383778816,2036334592
43473.165597,94820512,383778816,2036334592
43473.165643,135714976,383778816,2036334592
43473.165689,175560864,383778816,2036334592
43473.165736,216455328,383778816,2036334592
43473.165782,256301216,383778816,2036334592
43473.165828,76546048,383778816,2036334592
43473.165875,116391936,383778816,2036334592
43473.165921,157286400,383778816,2036334592
43473.165967,198180864,383778816,2036334592
43473.166013,239075328,383778816,2036334592
43473.166060,59113472,383778816,2036334592
43473.166106,100007936,383778816,2036334592
43473.166152,140902400,383778816,2036334592
43473.166199,180748288,383778816,2036334592
43473.166245,221642752,383778816,2036334592
43473.166291,261488640,383778816,2036334592
43473.166337,82574336,383778816,2036334592
43473.166384,122420224,383778816,2036334592
43473.166430,163314688,383778816,2036334592
43473.166476,203160576,383778816,2036334592
43473.166523,244055040,383778816,2036334592
43473.166569,64112640,383778816,2036334592
43473.166615,105007104,383778816,2036334592
43473.166662,145901568,383778816,2036334592
43473.166708,186796032,383778816,2036334592
43473.166754,227690496,383778816,2036334592
43473.166800,46697472,383778816,2036334592
43473.166847,87591936,383778816,2036334592
43473.166893,127437824,383778816,2036334592
43473.166939,167283712,383778816,2036334592
43473.166986,208178176,383778816,2036334592
43473.167032,249072640,383778816,2036334592
43473.167078,69109760,383778816,2036334592
