Time,Used,Committed,Max
43473.407863,176110592,383778816,2036334592
43473.407907,180304896,383778816,2036334592
43473.407954,181353472,383778816,2036334592
43473.408000,182402048,383778816,2036334592
43473.408046,72146944,383778816,2036334592
43473.408093,104652800,383778816,2036334592
43473.408139,146595840,383778816,2036334592
43473.408185,187490304,383778816,2036334592
43473.408232,228384768,383778816,2036334592
43473.408278,62811136,383778816,2036334592
43473.408324,102657024,383778816,2036334592
43473.408370,143551488,383778816,2036334592
43473.408417,184445952,383778816,2036334592
43473.408463,225340416,383778816,2036334592
43473.408509,40577448,383778816,2036334592
43473.408556,80423336,383778816,2036334592
43473.408602,121317800,383778816,2036334592
43473.408648,161163688,383778816,2036334592
43473.408694,201009576,383778816,2036334592
43473.408741,240855464,383778816,2036334592
43473.408787,56254464,383778816,2036334592
43473.408833,95051776,383778816,2036334592
43473.408880,134897664,383778816,2036334592
43473.408926,174743552,383778816,2036334592
43473.408972,213540864,383778816,2036334592
43473.409019,252338176,383778816,2036334592
43473.409065,66558944,383778816,2036334592
43473.409111,106404832,383778816,2036334592
43473.409157,146250720,383778816,2036334592
43473.409204,186096608,383778816,2036334592
43473.409250,224893920,383778816,2036334592
43473.409296,40348240,383778816,2036334592
43473.409343,79145552,383778816,2036334592
43473.409389,118991440,383778816,2036334592
43473.409435,158837328,383778816,2036334592
43473.409482,198683216,383778816,2036334592
43473.409528,238529104,383778816,2036334592
43473.409574,51923232,383778816,2036334592
43473.409620,91769120,383778816,2036334592
43473.409667,131615008,383778816,2036334592
43473.409713,170412320,383778816,2036334592
43473.409759,210258208,383778816,2036334592
43473.409806,250104096,383778816,2036334592
43473.409852,62429504,383778816,2036334592
43473.409898,102275392,383778816,2036334592
43473.409945,142121280,383778816,2036334592
43473.409991,181967168,383778816,2036334592
43473.410037,220764480,383778816,2036334592
43473.410083,34126784,383778816,2036334592
43473.410130,73972672,383778816,2036334592
43473.410176,113818560,383778816,2036334592
43473.410222,153664448,383778816,2036334592
43473.410269,193510336,383778816,2036334592
43473.410315,232307648,383778816,2036334592
43473.410361,45710160,383778816,2036334592
43473.410407,85556048,383778816,2036334592
43473.410454,125401936,383778816,2036334592
43473.410500,165247824,383778816,2036334592
43473.410546,204045136,383778816,2036334592
43473.410593,243891024,383778816,2036334592
43473.410639,57246760,383778816,2036334592
43473.410685,97092648,383778816,2036334592
43473.410732,136938536,383778816,2036334592
43473.410778,176784424,383778816,2036334592
43473.410824,216630312,383778816,2036334592
43473.410870,255427624,383778816,2036334592
43473.410917,68778112,383778816,2036334592
43473.410963,108624000,383778816,2036334592
43473.411009,148469888,383778816,2036334592
43473.411056,188315776,383778816,2036334592
43473.411102,227113088,383778816,2036334592
43473.411148,41552528,383778816,2036334592
43473.411195,80349840,383778816,2036334592
43473.411241,120195728,383778816,2036334592
43473.411287,160041616,383778816,2036334592
43473.411333,199887504,383778816,2036334592
43473.411380,238684816,383778816,2036334592
43473.411426,52056936,383778816,2036334592
43473.411472,92951400,383778816,2036334592
43473.411519,130700136,383778816,2036334592
43473.411565,171594600,383778816,2036334592
43473.411611,211440488,383778816,2036334592
43473.411658,250237800,383778816,2036334592
43473.411704,63600592,383778816,2036334592
43473.411750,103446480,383778816,2036334592
43473.411796,143292368,383778816,2036334592
43473.411843,182089680,383778816,2036334592
43473.411889,221935568,383778816,2036334592
43473.411935,34236528,383778816,2036334592
43473.411982,74082416,383778816,2036334592
43473.412028,113928304,383778816,2036334592
43473.412074,153774192,383778816,2036334592
43473.412121,193620080,383778816,2036334592
43473.412167,232417392,383778816,2036334592
43473.412213,46836672,383778816,2036334592
43473.412259,86682560,383778816,2036334592
43473.412306,126528448,383778816,2036334592
43473.412352,165325760,383778816,2036334592
43473.412398,205171648,383778816,2036334592
43473.412445,245017536,383778816,2036334592
43473.412491,57364112,383778816,2036334592
43473.412537,98258576,383778816,2036334592
43473.412584,137055888,383778816,2036334592
43473.412630,176901776,383778816,2036334592
43473.412676,216747664,383778816,2036334592
43473.412722,256593552,383778816,2036334592
43473.412769,68922304,383778816,2036334592
43473.412815,108768192,383778816,2036334592
43473.412861,147565504,383778816,2036334592
43473.412908,187411392,383778816,2036334592
43473.412954,227257280,383778816,2036334592
43473.413000,39563120,383778816,2036334592
43473.413047,79409008,383778816,2036334592
43473.413093,119254896,383778816,2036334592
43473.413139,159100784,383778816,2036334592
43473.413185,198946672,383778816,2036334592
43473.413232,237743984,383778816,2036334592
43473.413278,51123016,383778816,2036334592
43473.413324,92017480,383778816,2036334592
43473.413371,131863368,383778816,2036334592
43473.413417,170660680,383778816,2036334592
43473.413463,210506568,383778816,2036334592
43473.413510,250352456,383778816,2036334592
43473.413556,62663984,383778816,2036334592
43473.413602,102509872,383778816,2036334592
43473.413648,142355760,383778816,2036334592
43473.413695,182201648,383778816,2036334592
43473.413741,222047536,383778816,2036334592
43473.413787,33334688,383778816,2036334592
43473.413834,73180576,383778816,2036334592
43473.413880,113026464,383778816,2036334592
43473.413926,152872352,383778816,2036334592
43473.413972,192718240,383778816,2036334592
43473.414019,231515552,383778816,2036334592
43473.414065,44876096,383778816,2036334592
43473.414111,85770560,383778816,2036334592
43473.414158,124567872,383778816,2036334592
43473.414204,164413760,383778816,2036334592
43473.414250,204259648,383778816,2036334592
43473.414297,243056960,383778816,2036334592
43473.414343,56486352,383778816,2036334592
43473.414389,95283664,383778816,2036334592
